,EventTemplate,Occurrences
57,Input size for job <*> = <*>. Number of splits = <*>,1
58,Number of reduces for job <*> = <*>,1
59,<*> Transitioned from NEW to INITED,1
60,"MRAppMaster launching normal, non-uberized, multi-container job <*>.",1
61,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,1
62,Instantiated MRClientService at MININT-<*>/<*>,1
63,Logging to <*>(org.mortbay.log) via <*>,1
64,Http request log for http.requests.mapreduce is not defined,1
65,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),1
66,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,1
67,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,1
68,Jetty bound to port <*>,1
69,jetty-<*>,1
70,Extract jar:file:<*> to <*>,1
71,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>,1
72,Web app <*> started at <*>,1
73,Registered webapp guice modules,1
74,JOB_CREATE <*>,1
75,nodeBlacklistingEnabled:<*>,1
76,maxTaskFailuresPerNode is <*>,1
77,blacklistDisablePercent is <*>,1
78,Connecting to ResourceManager at <*>/<*>,1
79,"maxContainerCapability: <memory:<*>, vCores:<*>",1
80,queue: default,1
81,Upper limit on the thread pool size is <*>,1
82,yarn.client.max-cached-nodemanagers-proxies : <*>,1
83,<*> Transitioned from INITED to SETUP,1
84,Processing the event EventType: JOB_SETUP,1
85,<*> Transitioned from SETUP to RUNNING,1
86,"mapResourceRequest:<memory:<*>, vCores:<*>",1
87,"Event Writer setup for JobId: <*>, File: hdfs://<*>",1
88,"reduceResourceRequest:<memory:<*>, vCores:<*>",1
89,The job-jar file on the remote FS is hdfs://<*>,1
90,The job-conf file on the remote FS is <*>,1
91,Adding #<*> tokens and #<*> secret keys for NM use for launching container,1
92,Size of containertokens_dob is <*>,1
93,Putting shuffle token in serviceData,1
94,"Cannot assign container Container: [ContainerId: <*>, NodeId: <*>, NodeHttpAddress: <*>, Resource: <memory:<*>, vCores:<*>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*> }, ] for a map as either container memory less than required <memory:<*>, vCores:<*> or no pending map tasks - maps.isEmpty=<*>",1
95,Container complete event for unknown container id <*>,1
96,Done acknowledgement from <*>,1
97,<*> TaskAttempt Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP,1
98,<*> TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED,1
99,Task succeeded with attempt <*>,1
100,<*> Task Transitioned from RUNNING to SUCCEEDED,1
101,Num completed Tasks: <*>,1
102,Reduce slow start threshold reached. Scheduling reduces.,1
103,All maps assigned. Ramping up all remaining reduces:<*>,1
104,DefaultSpeculator.addSpeculativeAttempt -- we are speculating <*>,1
105,We launched <*> speculations. Sleeping <*> milliseconds.,1
106,Scheduling a redundant attempt for task <*>,1
107,Diagnostics report from <*>: Container killed by the ApplicationMaster.,1
108,"Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>, <*>]",1
109,DFSOutputStream ResponseProcessor exception for block BP-<*>,1
110,"Error Recovery for block BP-<*> in pipeline <*>, <*>: bad datanode <*>",1
111,DataStreamer Exception,1
112,Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@<*>,1
113,"Thread Thread[eventHandlingThread,<*>,main] threw an Exception.",1
